% Date and time of this run: 10-Feb-2005 00:18:25
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	sens integrand
3.533831e-04	1.025000e+02	1.385358e+05
3.533831e-04	1.027500e+02	1.296694e+05
3.533831e-04	1.030000e+02	1.178620e+05
3.533831e-04	1.032500e+02	1.099306e+05
3.533831e-04	1.035000e+02	1.065407e+05
3.533831e-04	1.037500e+02	1.036884e+05
3.533831e-04	1.040000e+02	9.994443e+04
3.533831e-04	1.042500e+02	9.977342e+04
3.533831e-04	1.045000e+02	9.311079e+04
3.533831e-04	1.047500e+02	8.734154e+04
3.533831e-04	1.050000e+02	8.207281e+04
3.533831e-04	1.052500e+02	7.342965e+04
3.533831e-04	1.055000e+02	6.635554e+04
3.533831e-04	1.057500e+02	6.235956e+04
3.533831e-04	1.060000e+02	5.755377e+04
3.533831e-04	1.062500e+02	4.476087e+04
3.533831e-04	1.065000e+02	3.456730e+04
3.533831e-04	1.067500e+02	4.034932e+04
3.533831e-04	1.070000e+02	4.528957e+04
3.533831e-04	1.072500e+02	4.268689e+04
3.533831e-04	1.075000e+02	3.968276e+04
3.533831e-04	1.077500e+02	3.595414e+04
3.533831e-04	1.080000e+02	2.156431e+04
3.533831e-04	1.082500e+02	2.059269e+04
3.533831e-04	1.085000e+02	3.326313e+04
3.533831e-04	1.087500e+02	0.000000e+00
3.533831e-04	1.090000e+02	3.292122e+04
3.533831e-04	1.092500e+02	2.951766e+04
3.533831e-04	1.095000e+02	2.421358e+04
3.533831e-04	1.097500e+02	2.180606e+04
3.533831e-04	1.100000e+02	2.234475e+04
3.533831e-04	1.102500e+02	2.256393e+04
3.533831e-04	1.105000e+02	1.809545e+04
3.533831e-04	1.107500e+02	6.800022e+03
3.533831e-04	1.110000e+02	8.118160e+03
3.533831e-04	1.112500e+02	1.559620e+04
3.533831e-04	1.115000e+02	1.413358e+04
3.533831e-04	1.117500e+02	1.245553e+04
3.533831e-04	1.120000e+02	0.000000e+00
3.533831e-04	1.122500e+02	9.271571e+03
3.533831e-04	1.125000e+02	8.611495e+03
3.533831e-04	1.127500e+02	7.678779e+03
3.533831e-04	1.130000e+02	6.595493e+03
3.533831e-04	1.132500e+02	5.435238e+03
3.533831e-04	1.135000e+02	4.167651e+03
3.533831e-04	1.137500e+02	2.969897e+03
3.533831e-04	1.140000e+02	2.584138e+03
3.533831e-04	1.142500e+02	2.344588e+03
3.533831e-04	1.145000e+02	1.950052e+03
3.533831e-04	1.147500e+02	1.378062e+03
3.533831e-04	1.150000e+02	8.654990e+02
3.533831e-04	1.152500e+02	6.653835e+02
3.533831e-04	1.155000e+02	4.720131e+02
3.533831e-04	1.157500e+02	2.551200e+02
3.533831e-04	1.160000e+02	1.116707e+02
3.533831e-04	1.162500e+02	2.571864e+01
3.533831e-04	1.165000e+02	8.767268e-02
3.533831e-04	1.167500e+02	2.776815e+01
3.533831e-04	1.170000e+02	9.265579e+01
3.533831e-04	1.172500e+02	1.793296e+02
3.533831e-04	1.175000e+02	2.407428e+02
3.533831e-04	1.177500e+02	2.121369e+02
3.533831e-04	1.180000e+02	2.660093e+02
3.533831e-04	1.182500e+02	3.758229e+02
3.533831e-04	1.185000e+02	3.105572e+02
3.533831e-04	1.187500e+02	3.183269e+02
3.533831e-04	1.190000e+02	3.286422e+02
3.533831e-04	1.192500e+02	2.726737e+02
3.533831e-04	1.195000e+02	4.278298e+02
3.533831e-04	1.197500e+02	4.092507e+00
3.533831e-04	1.200000e+02	0.000000e+00
3.533831e-04	1.202500e+02	5.488739e+00
3.533831e-04	1.205000e+02	6.790680e+02
3.533831e-04	1.207500e+02	5.998406e+02
3.533831e-04	1.210000e+02	9.097199e+02
3.533831e-04	1.212500e+02	1.195344e+03
3.533831e-04	1.215000e+02	1.722865e+03
3.533831e-04	1.217500e+02	2.782233e+03
3.533831e-04	1.220000e+02	2.581570e+03
3.533831e-04	1.222500e+02	3.117839e+03
3.533831e-04	1.225000e+02	5.964033e+03
3.533831e-04	1.227500e+02	8.072597e+03
3.533831e-04	1.230000e+02	9.415858e+03
3.533831e-04	1.232500e+02	1.036749e+04
3.533831e-04	1.235000e+02	1.093500e+04
3.533831e-04	1.237500e+02	1.184317e+04
3.533831e-04	1.240000e+02	1.303386e+04
3.533831e-04	1.242500e+02	1.463314e+04
3.533831e-04	1.245000e+02	1.567770e+04
3.533831e-04	1.247500e+02	1.640567e+04
3.533831e-04	1.250000e+02	1.711065e+04
3.533831e-04	1.252500e+02	1.693516e+04
3.533831e-04	1.255000e+02	1.624690e+04
3.533831e-04	1.257500e+02	1.644616e+04
3.533831e-04	1.260000e+02	1.543848e+04
3.533831e-04	1.262500e+02	1.500007e+04
3.533831e-04	1.265000e+02	1.790366e+04
3.533831e-04	1.267500e+02	1.966147e+04
3.533831e-04	1.270000e+02	2.013884e+04
3.533831e-04	1.272500e+02	1.988778e+04
3.533831e-04	1.275000e+02	1.911818e+04
3.533831e-04	1.277500e+02	1.739866e+04
3.533831e-04	1.280000e+02	0.000000e+00
3.533831e-04	1.282500e+02	2.257854e+04
3.533831e-04	1.285000e+02	2.441164e+04
3.533831e-04	1.287500e+02	2.411956e+04
3.533831e-04	1.290000e+02	2.525268e+04
3.533831e-04	1.292500e+02	2.617417e+04
3.533831e-04	1.295000e+02	2.586801e+04
3.533831e-04	1.297500e+02	2.499362e+04
3.533831e-04	1.300000e+02	2.244369e+04
3.533831e-04	1.302500e+02	2.091783e+04
3.533831e-04	1.305000e+02	2.234906e+04
3.533831e-04	1.307500e+02	2.419181e+04
3.533831e-04	1.310000e+02	2.502079e+04
3.533831e-04	1.312500e+02	2.594823e+04
3.533831e-04	1.315000e+02	2.308755e+04
3.533831e-04	1.317500e+02	1.219891e+04
3.533831e-04	1.320000e+02	1.272233e+04
3.533831e-04	1.322500e+02	2.530458e+04
3.533831e-04	1.325000e+02	2.902651e+04
3.533831e-04	1.327500e+02	2.921449e+04
3.533831e-04	1.330000e+02	2.921128e+04
3.533831e-04	1.332500e+02	2.913631e+04
3.533831e-04	1.335000e+02	2.916126e+04
3.533831e-04	1.337500e+02	2.974051e+04
3.533831e-04	1.340000e+02	3.001664e+04
3.533831e-04	1.342500e+02	3.014373e+04
3.533831e-04	1.345000e+02	3.021249e+04
3.533831e-04	1.347500e+02	3.031522e+04
3.533831e-04	1.350000e+02	3.010270e+04
3.533831e-04	1.352500e+02	2.952345e+04
3.533831e-04	1.355000e+02	2.962107e+04
3.533831e-04	1.357500e+02	2.838702e+04
3.533831e-04	1.360000e+02	2.529997e+04
3.533831e-04	1.362500e+02	2.359628e+04
3.533831e-04	1.365000e+02	2.485726e+04
3.533831e-04	1.367500e+02	2.771847e+04
