% Date and time of this run: 09-Feb-2005 23:55:14
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	pt est int (re)	pt est int (im)
3.533831e-04	1.217500e+02	-5.767391e-06	2.718943e-06
3.533831e-04	1.220000e+02	2.907158e-06	-4.891281e-06
3.533831e-04	1.222500e+02	4.175698e-06	-7.514704e-07
3.533831e-04	1.225000e+02	-1.601175e-05	-5.675613e-06
3.533831e-04	1.227500e+02	1.218283e-05	4.212515e-07
3.533831e-04	1.230000e+02	2.366406e-05	-2.849879e-06
3.533831e-04	1.232500e+02	6.963635e-06	1.838734e-05
3.533831e-04	1.235000e+02	1.552015e-05	-1.206695e-05
3.533831e-04	1.237500e+02	6.795938e-06	1.448985e-05
3.533831e-04	1.240000e+02	4.961344e-07	3.262260e-05
3.533831e-04	1.242500e+02	-1.280352e-06	2.077512e-05
3.533831e-04	1.245000e+02	-1.086197e-05	1.211958e-06
3.533831e-04	1.247500e+02	2.105412e-05	-2.277318e-05
3.533831e-04	1.250000e+02	-1.812223e-05	2.782493e-05
3.533831e-04	1.252500e+02	-2.207510e-05	1.347286e-05
3.533831e-04	1.255000e+02	-1.253527e-05	-7.896807e-06
3.533831e-04	1.257500e+02	-1.206788e-05	1.075356e-06
3.533831e-04	1.260000e+02	1.402151e-05	-1.568167e-05
3.533831e-04	1.262500e+02	1.999326e-06	-9.170220e-06
3.533831e-04	1.265000e+02	-1.854268e-05	2.958431e-05
3.533831e-04	1.267500e+02	2.111779e-05	2.839092e-05
3.533831e-04	1.270000e+02	-1.386430e-05	4.957680e-06
3.533831e-04	1.272500e+02	2.855008e-06	-1.563916e-05
3.533831e-04	1.275000e+02	-1.113262e-05	-7.285811e-07
3.533831e-04	1.277500e+02	-1.848816e-05	-2.292829e-05
3.533831e-04	1.280000e+02	0.000000e+00	0.000000e+00
3.533831e-04	1.282500e+02	1.980253e-06	-7.410709e-06
3.533831e-04	1.285000e+02	-1.482226e-05	-2.174728e-05
3.533831e-04	1.287500e+02	1.818246e-05	3.942842e-05
3.533831e-04	1.290000e+02	-1.777780e-05	6.405314e-06
3.533831e-04	1.292500e+02	2.118405e-05	6.645576e-05
3.533831e-04	1.295000e+02	-4.807116e-05	-8.745384e-06
3.533831e-04	1.297500e+02	1.609389e-05	-3.579751e-05
3.533831e-04	1.300000e+02	-6.407091e-06	-3.797663e-06
3.533831e-04	1.302500e+02	2.959064e-06	-1.139554e-05
3.533831e-04	1.305000e+02	9.751117e-06	3.587673e-06
3.533831e-04	1.307500e+02	-1.152287e-05	2.296745e-05
3.533831e-04	1.310000e+02	-8.294230e-06	1.161633e-05
3.533831e-04	1.312500e+02	-2.835018e-05	1.838390e-05
3.533831e-04	1.315000e+02	-3.155858e-05	-3.179734e-05
3.533831e-04	1.317500e+02	1.377801e-05	-1.108547e-05
3.533831e-04	1.320000e+02	-8.491466e-06	-1.154777e-06
3.533831e-04	1.322500e+02	1.138785e-05	-4.763838e-06
3.533831e-04	1.325000e+02	-2.434586e-06	1.146981e-05
3.533831e-04	1.327500e+02	1.369495e-05	1.235585e-05
3.533831e-04	1.330000e+02	-6.147828e-06	-1.172237e-05
3.533831e-04	1.332500e+02	-1.632992e-06	-1.843316e-05
3.533831e-04	1.335000e+02	1.970342e-05	-2.006343e-05
3.533831e-04	1.337500e+02	6.928025e-06	-8.187118e-06
3.533831e-04	1.340000e+02	2.502767e-06	3.388314e-05
3.533831e-04	1.342500e+02	1.153009e-05	-5.428046e-05
3.533831e-04	1.345000e+02	1.330715e-05	1.342926e-05
3.533831e-04	1.347500e+02	-3.078615e-05	1.704027e-05
3.533831e-04	1.350000e+02	1.166667e-05	3.166758e-06
3.533831e-04	1.352500e+02	-1.902068e-06	8.501167e-07
3.533831e-04	1.355000e+02	3.153668e-05	-2.451535e-05
3.533831e-04	1.357500e+02	3.354738e-05	-9.929990e-06
3.533831e-04	1.360000e+02	-3.939002e-06	-2.120186e-05
3.533831e-04	1.362500e+02	1.176977e-05	-1.579233e-05
3.533831e-04	1.365000e+02	3.288747e-05	2.049379e-05
3.533831e-04	1.367500e+02	-3.708137e-05	-1.105916e-05
3.533831e-04	1.370000e+02	-8.857113e-06	4.399056e-06
3.533831e-04	1.372500e+02	1.148545e-05	1.195882e-06
3.533831e-04	1.375000e+02	-3.100677e-06	-4.387435e-05
3.533831e-04	1.377500e+02	-1.806075e-05	-1.127089e-05
3.533831e-04	1.380000e+02	5.424625e-06	-3.805420e-05
3.533831e-04	1.382500e+02	-4.163270e-05	-3.253634e-05
3.533831e-04	1.385000e+02	-1.668659e-05	-3.724611e-05
3.533831e-04	1.387500e+02	-1.542705e-05	1.550568e-05
3.533831e-04	1.390000e+02	3.018825e-05	-3.333470e-06
3.533831e-04	1.392500e+02	-3.299301e-05	-3.372092e-05
3.533831e-04	1.395000e+02	2.920719e-05	-3.059409e-06
3.533831e-04	1.397500e+02	6.665014e-06	8.518211e-06
3.533831e-04	1.400000e+02	8.293338e-06	3.217217e-05
3.533831e-04	1.402500e+02	-2.506120e-05	-2.430547e-05
3.533831e-04	1.405000e+02	-2.885608e-06	-2.419877e-05
3.533831e-04	1.407500e+02	-3.097373e-05	-1.118521e-05
3.533831e-04	1.410000e+02	7.612143e-06	-7.750555e-06
3.533831e-04	1.412500e+02	1.819496e-05	5.341318e-06
3.533831e-04	1.415000e+02	7.393403e-06	1.983095e-05
3.533831e-04	1.417500e+02	-8.177448e-06	-7.515508e-06
3.533831e-04	1.420000e+02	1.604435e-05	-6.055159e-06
3.533831e-04	1.422500e+02	8.815443e-06	1.974277e-05
3.533831e-04	1.425000e+02	3.266364e-05	5.911576e-06
3.533831e-04	1.427500e+02	-4.022169e-05	-3.506499e-05
3.533831e-04	1.430000e+02	-6.844057e-06	-4.916675e-06
3.533831e-04	1.432500e+02	-1.079251e-05	-2.884641e-07
3.533831e-04	1.435000e+02	3.251506e-05	1.796773e-05
3.533831e-04	1.437500e+02	-2.434491e-06	-7.864781e-06
3.533831e-04	1.440000e+02	0.000000e+00	0.000000e+00
3.533831e-04	1.442500e+02	-6.541689e-06	7.186846e-06
3.533831e-04	1.445000e+02	2.704328e-05	7.119872e-06
3.533831e-04	1.447500e+02	-4.730776e-06	-4.565059e-06
3.533831e-04	1.450000e+02	-4.478597e-05	-3.959731e-06
3.533831e-04	1.452500e+02	-4.205145e-06	1.488314e-05
3.533831e-04	1.455000e+02	-6.988509e-07	-2.818989e-06
